Column,NA_Proportion,NA_Count
Sample Comment,0.970373376623377,2276
Notes,0.948051948051948,2223
Family_ID,0.79099025974026,1855
Place of inclusion,0.645698051948052,1514
Time of inclusion,0.118912337662338,279
AZU NR,0.117288961038961,275
Serum,0.116883116883117,274
Plasma,0.116883116883117,274
Fam_code,0.116477272727273,273
Date of birth,0.116477272727273,273
Date of sample collection,0.116477272727273,273
Type of sample,0.116477272727273,273
Age_Years,0.0458603896103896,108
Age_Months,0.0458603896103896,108
Gender,0.0454545454545455,107
Diagnosis,0.0454545454545455,107
