"Basename","Sample_Name","Sample_Plate","Sample_Well","Sentrix_ID","Sentrix_Position","Sample_Group","Pool_ID"
"207804200109_R01C01","431-BG00001","Plate01","A1",207804200109,"R01C01","431-BG00001",NA
"207804200109_R02C01","431-BG00002","Plate01","B1",207804200109,"R02C01","431-BG00002",NA
"207804200109_R03C01","431-BG00003","Plate01","C1",207804200109,"R03C01","431-BG00003",NA
"207804200109_R04C01","431-BG00004","Plate01","D1",207804200109,"R04C01","431-BG00004",NA
"207804200109_R05C01","431-BG00006","Plate01","E1",207804200109,"R05C01","431-BG00006",NA
"207804200109_R06C01","431-BG00007","Plate01","F1",207804200109,"R06C01","431-BG00007",NA
"207804200109_R07C01","431-BG00009","Plate01","G1",207804200109,"R07C01","431-BG00009",NA
"207804200109_R08C01","431-BG00011","Plate01","H1",207804200109,"R08C01","431-BG00011",NA
"207804200108_R01C01","431-BG00013","Plate01","A2",207804200108,"R01C01","431-BG00013",NA
"207804200108_R02C01","431-BG00014","Plate01","B2",207804200108,"R02C01","431-BG00014",NA
"207804200108_R03C01","431-BG00015","Plate01","C2",207804200108,"R03C01","431-BG00015",NA
"207804200108_R04C01","431-BG00016","Plate01","D2",207804200108,"R04C01","431-BG00016",NA
"207804200108_R05C01","431-BG00017","Plate01","E2",207804200108,"R05C01","431-BG00017",NA
"207804200108_R06C01","431-BG00018","Plate01","F2",207804200108,"R06C01","431-BG00018",NA
"207804200108_R07C01","431-BG00021","Plate01","G2",207804200108,"R07C01","431-BG00021",NA
"207804200108_R08C01","431-BG00022","Plate01","H2",207804200108,"R08C01","431-BG00022",NA
"207781890019_R01C01","431-BG00024","Plate01","A3",207781890019,"R01C01","431-BG00024",NA
"207781890019_R02C01","431-BG00025","Plate01","B3",207781890019,"R02C01","431-BG00025",NA
"207781890019_R03C01","431-BG00026","Plate01","C3",207781890019,"R03C01","431-BG00026",NA
"207781890019_R04C01","431-BG00027","Plate01","D3",207781890019,"R04C01","431-BG00027",NA
"207781890019_R05C01","431-BG00029","Plate01","E3",207781890019,"R05C01","431-BG00029",NA
"207781890019_R06C01","431-BG00030","Plate01","F3",207781890019,"R06C01","431-BG00030",NA
"207781890019_R07C01","431-BG00031","Plate01","G3",207781890019,"R07C01","431-BG00031",NA
"207781890019_R08C01","431-BG00032","Plate01","H3",207781890019,"R08C01","431-BG00032",NA
"207781890052_R01C01","431-BG00036","Plate01","A4",207781890052,"R01C01","431-BG00036",NA
"207781890052_R02C01","431-BG00040","Plate01","B4",207781890052,"R02C01","431-BG00040",NA
"207781890052_R03C01","431-BG00041","Plate01","C4",207781890052,"R03C01","431-BG00041",NA
"207781890052_R04C01","431-BG00042","Plate01","D4",207781890052,"R04C01","431-BG00042",NA
