         6576 function calls (6558 primitive calls) in 1.229 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.011    0.011    1.229    1.229 /tmp/ipykernel_36883/126944473.py:40(parallel_load)
       47    0.000    0.000    1.113    0.024 /u/local/apps/anaconda3/2023.03/lib/python3.10/threading.py:589(wait)
       46    0.000    0.000    1.113    0.024 /u/local/apps/anaconda3/2023.03/lib/python3.10/threading.py:288(wait)
      325    1.113    0.003    1.113    0.003 {method 'acquire' of '_thread.lock' objects}
        1    0.000    0.000    1.103    1.103 /u/local/apps/anaconda3/2023.03/lib/python3.10/multiprocessing/pool.py:369(starmap)
        1    0.000    0.000    1.103    1.103 /u/local/apps/anaconda3/2023.03/lib/python3.10/multiprocessing/pool.py:767(get)
        1    0.000    0.000    1.103    1.103 /u/local/apps/anaconda3/2023.03/lib/python3.10/multiprocessing/pool.py:764(wait)
       17    0.000    0.000    0.059    0.003 /u/local/apps/anaconda3/2023.03/lib/python3.10/multiprocessing/util.py:205(__call__)
        1    0.000    0.000    0.059    0.059 /u/local/apps/anaconda3/2023.03/lib/python3.10/multiprocessing/pool.py:738(__exit__)
        1    0.000    0.000    0.059    0.059 /u/local/apps/anaconda3/2023.03/lib/python3.10/multiprocessing/pool.py:654(terminate)
        1    0.000    0.000    0.059    0.059 /u/local/apps/anaconda3/2023.03/lib/python3.10/multiprocessing/pool.py:680(_terminate_pool)
        1    0.000    0.000    0.051    0.051 /u/local/apps/anaconda3/2023.03/lib/python3.10/multiprocessing/context.py:115(Pool)
        1    0.000    0.000    0.049    0.049 /u/local/apps/anaconda3/2023.03/lib/python3.10/multiprocessing/pool.py:183(__init__)
      158    0.000    0.000    0.048    0.000 /u/local/apps/anaconda3/2023.03/lib/python3.10/multiprocessing/popen_fork.py:24(poll)
      158    0.048    0.000    0.048    0.000 {built-in method posix.waitpid}
        1    0.000    0.000    0.047    0.047 /u/local/apps/anaconda3/2023.03/lib/python3.10/multiprocessing/pool.py:305(_repopulate_pool)
        1    0.000    0.000    0.047    0.047 /u/local/apps/anaconda3/2023.03/lib/python3.10/multiprocessing/pool.py:314(_repopulate_pool_static)
       16    0.000    0.000    0.045    0.003 /u/local/apps/anaconda3/2023.03/lib/python3.10/multiprocessing/process.py:110(start)
       16    0.001    0.000    0.044    0.003 /u/local/apps/anaconda3/2023.03/lib/python3.10/multiprocessing/context.py:278(_Popen)
        6    0.000    0.000    0.044    0.007 /u/local/apps/anaconda3/2023.03/lib/python3.10/multiprocessing/process.py:142(join)
        6    0.000    0.000    0.044    0.007 /u/local/apps/anaconda3/2023.03/lib/python3.10/multiprocessing/popen_fork.py:36(wait)
       16    0.000    0.000    0.042    0.003 /u/local/apps/anaconda3/2023.03/lib/python3.10/multiprocessing/popen_fork.py:15(__init__)
       16    0.001    0.000    0.033    0.002 /u/local/apps/anaconda3/2023.03/lib/python3.10/multiprocessing/popen_fork.py:62(_launch)
       16    0.019    0.001    0.019    0.001 {built-in method posix.fork}
       43    0.001    0.000    0.013    0.000 /u/local/apps/anaconda3/2023.03/lib/python3.10/site-packages/ipykernel/iostream.py:471(flush)
       35    0.012    0.000    0.012    0.000 {built-in method posix.pipe}
        1    0.000    0.000    0.010    0.010 /u/local/apps/anaconda3/2023.03/lib/python3.10/multiprocessing/pool.py:671(_help_stuff_finish)
        7    0.010    0.001    0.010    0.001 {method 'acquire' of '_multiprocessing.SemLock' objects}
       16    0.000    0.000    0.009    0.001 /u/local/apps/anaconda3/2023.03/lib/python3.10/multiprocessing/util.py:433(_flush_std_streams)
        3    0.000    0.000    0.004    0.001 /u/local/apps/anaconda3/2023.03/lib/python3.10/site-packages/tqdm/std.py:1478(display)
       16    0.000    0.000    0.004    0.000 /u/local/apps/anaconda3/2023.03/lib/python3.10/multiprocessing/process.py:224(exitcode)
      5/3    0.000    0.000    0.004    0.001 <frozen importlib._bootstrap>:1022(_find_and_load)
      5/3    0.000    0.000    0.004    0.001 <frozen importlib._bootstrap>:987(_find_and_load_unlocked)
       19    0.000    0.000    0.004    0.000 /u/local/apps/anaconda3/2023.03/lib/python3.10/site-packages/tqdm/utils.py:143(inner)
