"CpG","gold"
"cg22455450",0.0947894779919567
"cg08935243",0.0222630152983122
"cg23242017",0.0325658397438533
"cg14571620",0.0341090181407749
"cg22815214",0.101070676527106
"cg23882824",0.0404857983086018
"cg01743008",0.5
"cg19729279",0.0746882067347273
"cg07710481",0.0413586931138204
"cg17655576",0.0324988294956983
"cg16802439",0.447734693598435
"cg02833180",0.914820131419866
"cg13372488",0.0989429821716638
"cg19764418",0.690147106741661
"cg01124961",0.0215797638205222
"cg12240358",0.797202419366976
"cg06778853",0.591399446199957
"cg21274570",0.905123814978835
"cg17067993",0.0244897259529044
"cg18801806",0.302702641753767
"cg10173675",0.936913617033423
"cg04613080",0.633820590207967
"cg06999776",0.0266003379263138
"cg03724463",0.145681161597998
"cg13262687",0.101796101498832
"cg19850163",0.0497188722973636
"cg19160878",0.950347893767164
"cg02548238",0.0403348936319384
"cg03879294",0.0334274252527702
"cg11185569",0.0309725202324314
"cg01447420",0.5
"cg04726446",0.126607162390571
"cg05257610",0.115065419311176
"cg20483374",0.357075057638759
"cg00012792",0.0601845850505159
"cg24238205",0.0264037156085377
"cg22724153",0.821853494162475
"cg14616651",0.49826356651706
"cg09390241",0.670192479035881
"cg22419075",0.0480849760317149
"cg03041841",0.0903955022462386
"cg22873892",0.0288837253333618
"cg23512028",0.0265994408890187
"cg13473336",0.608702426882992
"cg12073594",0.179634055364601
"cg24504986",0.0293185632603947
"cg06585690",0.707322372936895
"cg19196326",0.817411496540121
"cg22833292",0.0501944844992065
"cg12197254",0.0429551311258005
"cg23462687",0.810239217711163
"cg11108890",0.0813240864302897
"cg25870420",0.0188268706813866
"cg16608652",0.893583814598367
"cg06825166",0.779049083887854
"cg22663080",0.0404484143388951
"cg13915886",0.837882862903195
"cg12874092",0.0143961777424063
"cg13031679",0.0268307813661902
"cg23705973",0.0237842647334183
"cg08454507",0.173359050422332
"cg03776060",0.366364837788983
"cg15098690",0.0284107599049096
"cg23001650",0.377507746543521
"cg26809911",0.0558834928169466
"cg09837656",0.376082881163079
"cg03510310",0.891935859442577
"cg07922606",0.889955122285815
"cg18540305",0.0145836006594242
"cg06781209",0.0851513397371509
"cg25884854",0.0233545719126283
"cg26560960",0.5
"cg13240332",0.0258530748657018
